Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Source Profile URL / 来源主页
masturzo.clemen,MD Drama,MD Drama,1,ID 7653131817838892053,The Wolfhound's Wall,猎狼犬之墙,2026-06-25 13:52:06,23,127863,1873,31.2,是 / Yes,Ensemble Cast、Family Disputes、Rural Area,群像、家庭纠纷、乡村,"Quinn establishes a wolf defense line with dogs. Cousin Shane Rhodes and mother Helen Rhodes incite villagers to demolish kennels. Quinn makes villagers sign a waiver, then dismantles defense. That night, a wolf pack devastates the village. Quinn leads his dogs against the wolves; Scrappy sacrifices itself. Villagers, confronted by waiver, turn on Shane Rhodes and his mother. Quinn rebuilds. Shane Rhodes attempts to poison dogs, is brought to justice. The village is reborn.",,否 / No,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,2,ID 7653131810934887444,The Secret Chef's Revenge,秘密厨师的复仇,2026-06-25 11:59:33,60,155343,7378,123.0,是 / Yes,City、Superior and Inferior、Skill/Talent Competition,城市、强弱逆袭、技能/才艺竞赛,"Cole Mason is fired by Jade Shaw. Replaced by the imposter Benny. Benny uses Cole Mason's sauces and falsely accuses him. He is invited to join The Zephyr Pavilion by Claire Frost, who offers him shares. Jade Shaw tries to blacklist Cole Mason, unaware that he is culinary god, Andy. A cooking competition, Jade Shaw realizes her mistake. The Celestial Palate is on the verge of bankruptcy after Benny is exposed. Cole Mason leads The Zephyr Pavilion to a comeback.",,否 / No,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,3,ID 7653126676993463313,The Chef's Payback,厨师的回报,2026-06-21 00:01:34,22,370911,1713,28.6,是 / Yes,Farming/Business、Skill/Talent Competition,种田/经商、技能/才艺竞赛,"Leo Lowe's Luzhu Stew shop is booming. His greedy landlady, Grace Shaw, gets jealous and raises the rent, demanding his Secret Recipe. Leo Lowe empties the shop overnight. He starts over, and his business thrives. Grace Shaw opens a copycat shop, but it gets shut down due to bad taste and poor hygiene. She sells her property and leaves town. Leo Lowe's shop becomes famous throughout the county. Good and evil receive their due, and true craftsmanship endures.",,否 / No,https://www.tiktok.com/@masturzo.clemen
aidramalabs_pulse0,Shape of Desire,Shape of Desire,1,ID 7656911019842737159,Reborn as the Mafia Heir’s Bride,重生为黑手党继承人的新娘,2026-06-30 04:18:57,60,324218,7218,120.3,是 / Yes,Romantic Complications、Reconciliation、Family Feud,浪漫并发症、和解、家庭恩怨,Reborn as the Mafia Heir’s Bride,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,2,ID 7655348876857316370,She Stole My DNA,她偷了我的DNA,2026-06-25 23:06:13,35,1556058,3035,50.6,是 / Yes,Betrayal、Family Feud,背叛、家庭恩怨,She Stole My DNA,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,3,ID 7654251221980615698,"Betrayed by My Fiancé, Claimed by His CEO Uncle",被未婚夫背叛，被总裁叔叔认领,2026-06-23 00:09:06,31,23482566,2112,35.2,是 / Yes,Romantic Complications、Age Gap/Older Boyfriend、Family Feud,浪漫并发症、年龄差距/年长的男朋友、家庭恩怨,"Betrayed by My Fiancé, Claimed by His CEO Uncle",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,4,ID 7656911694257820680,Sister Sold Me to Hades,姐姐把我卖给哈迪斯,2026-06-30 04:10:46,50,219906,3196,53.3,是 / Yes,Revenge、Cultivation,复仇、栽培,Sister Sold Me to Hades,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,5,ID 7655333357219370002,Dad Sold Me to My Mate,爸爸把我卖给了我的伴侣,2026-06-25 22:06:01,37,1081830,2828,47.1,是 / Yes,dark romance、Forced Love、Werewolf,黑暗浪漫、强迫的爱、狼人,Dad Sold Me to My Mate,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,6,ID 7656972612983133192,His Forbidden Coach,他的禁忌教练,2026-06-30 08:08:52,50,379978,5330,88.8,是 / Yes,Sports、City、Superior and Inferior,运动的、城市、强弱逆袭,He was the champion they buried in lies. The rookie they warned him about just chose him in front of everyone—and the water remembers who he used to be.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,7,ID 7654451483257099282,The Queen Who Bought His Empire,买下帝国的女王,2026-06-23 13:03:53,35,1179716,2124,35.4,是 / Yes,Married Life、Family Feud,婚姻生活、家庭恩怨,The Queen Who Bought His Empire,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
