Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Drama Link / 短剧链接,Source Profile URL / 来源主页
masturzo.clemen,MD Drama,MD Drama,1,ID 7653126676993463313,The Chef's Payback,厨师的回报,2026-06-21 00:01:34,22,371421,1713,28.6,是 / Yes,Farming/Business、Skill/Talent Competition,种田/经商、技能/才艺竞赛,"Leo Lowe's Luzhu Stew shop is booming. His greedy landlady, Grace Shaw, gets jealous and raises the rent, demanding his Secret Recipe. Leo Lowe empties the shop overnight. He starts over, and his business thrives. Grace Shaw opens a copycat shop, but it gets shut down due to bad taste and poor hygiene. She sells her property and leaves town. Leo Lowe's shop becomes famous throughout the county. Good and evil receive their due, and true craftsmanship endures.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,2,ID 7653131817838892053,The Wolfhound's Wall,猎狼犬之墙,2026-06-25 13:52:06,23,130719,1873,31.2,是 / Yes,Family Disputes、Rural Area、Ensemble Cast,家庭纠纷、乡村、群像,"Quinn establishes a wolf defense line with dogs. Cousin Shane Rhodes and mother Helen Rhodes incite villagers to demolish kennels. Quinn makes villagers sign a waiver, then dismantles defense. That night, a wolf pack devastates the village. Quinn leads his dogs against the wolves; Scrappy sacrifices itself. Villagers, confronted by waiver, turn on Shane Rhodes and his mother. Quinn rebuilds. Shane Rhodes attempts to poison dogs, is brought to justice. The village is reborn.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,3,ID 7653131810934887444,The Secret Chef's Revenge,秘密厨师的复仇,2026-06-25 11:59:33,60,160771,7378,123.0,是 / Yes,Superior and Inferior、Skill/Talent Competition、City,强弱逆袭、技能/才艺竞赛、城市,"Cole Mason is fired by Jade Shaw. Replaced by the imposter Benny. Benny uses Cole Mason's sauces and falsely accuses him. He is invited to join The Zephyr Pavilion by Claire Frost, who offers him shares. Jade Shaw tries to blacklist Cole Mason, unaware that he is culinary god, Andy. A cooking competition, Jade Shaw realizes her mistake. The Celestial Palate is on the verge of bankruptcy after Benny is exposed. Cole Mason leads The Zephyr Pavilion to a comeback.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
aidramalabs_pulse0,Shape of Desire,Shape of Desire,1,ID 7655363802367677447,The Outcast and Her Hound: No Mercy,流浪者和她的猎犬：无情,2026-06-26 00:05:46,42,4458221,2648,44.1,是 / Yes,Family Feud、Family & Ethics,家庭恩怨、家庭与道德,The Outcast and Her Hound: No Mercy,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,2,ID 7656900574033515538,Mist Survival: Secret Heiress,迷雾求生：秘密女继承人,2026-06-30 03:29:23,60,351874,4346,72.4,是 / Yes,Mistaken Identities、Action、Fantasy,错误的身份、行动、奇幻,Mist Survival: Secret Heiress,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,3,ID 7655333162884813842,I Ate A Meteorite For Her,我为她吃了一块陨石,2026-06-25 22:06:57,25,342404,1646,27.4,是 / Yes,Action、Fantasy、Lost Child,行动、奇幻、丢失的孩子,I Ate A Meteorite For Her,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,4,ID 7654251221980615698,"Betrayed by My Fiancé, Claimed by His CEO Uncle",被未婚夫背叛，被总裁叔叔认领,2026-06-23 00:09:06,31,26146669,2112,35.2,是 / Yes,Romantic Complications、Age Gap/Older Boyfriend、Family Feud,浪漫并发症、年龄差距/年长的男朋友、家庭恩怨,"Betrayed by My Fiancé, Claimed by His CEO Uncle",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,5,ID 7656972414429139986,From Dead Cop to Mafia Queen,从死亡警察到黑手党女王,2026-06-30 08:07:58,30,511912,2296,38.3,是 / Yes,dark romance、Revenge、City,黑暗浪漫、复仇、城市,From Dead Cop to Mafia Queen,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,6,ID 7655348876857316370,She Stole My DNA,她偷了我的DNA,2026-06-25 23:06:13,35,1779175,3035,50.6,是 / Yes,Betrayal、Family Feud,背叛、家庭恩怨,She Stole My DNA,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,7,ID 7655348381271643144,The Prince Who Bloomed in Winter,冬日绽放的王子,2026-06-25 23:04:10,30,823150,2766,46.1,是 / Yes,Redemption、Romantic Complications、Royal Palace,赎回、浪漫并发症、皇宫,She was sold to marry an ice statue prince,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
