截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看短剧中文名,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,89,501,7,196,1348598,192657,The Billionaire's Payback,亿万富翁的回报,382456,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,5525096,95733889,255,8630,3697940050,14501726,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,197836643,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,2018975,49395929,138,8907,1692583347,12265097,Before We Knew,在我们知道之前。,202834583,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,47901,200299,33,1090,16915930,512604,The Half Zombie Girl,半僵尸少女,4621593,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,98827,585399,5,100,37160,7432,The Silent Heir,沉默的继承人,8592,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,3105166,49080812,76,2124,1155427335,15202991,The Princess’ Secret Guard,公主的秘密卫士,289586662,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,2099,54177,5,100,35281,7056,Reclaim My Life(More in Drama⬇️),夺回我的生活（更多剧情⬇️）,14653,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7518,166335,58,2696,18144424,312835,The Elite Marriage,精英婚姻,2914870,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1197,25331,34,1481,16869095,496150,Reclaim My Life,夺回我的生活,4391182,https://www.tiktok.com/@dramavault40
MoboReels one,moboreels_one,MoboReels one,2242434,28523924,33,100,12068309,365706,01,,5802928,https://www.tiktok.com/@moboreels_one
GoodShort,goodshort_video,GoodShort,1876192,6584428,4,259,8505129,2126282,"Mistaken Encounter, Unexpected Love",误会，意外的爱情,4092585,https://www.tiktok.com/@goodshort_video
Melon_Minidrama,melon_minidrama,Melon_Minidrama,1366733,36713509,124,7322,1470467043,11858605,Saudari balas dendam,绍达里·巴拉斯·登丹姆,85593923,https://www.tiktok.com/@melon_minidrama
